 
 Subroutine	 #	Source File	Error Message
 
 Bascal		-1	coord.ftn	Illegal LAY (layering) option
 Chklvlc	-1	coord.ftn	Illegal height value
 Clesui		-1	convsub.ftn	Illegal call to CLESUI: no INICLE initialization
 Clesui		-2	convsub.ftn	Unknown I/O unit number
 Clrlmt		-1	dimgt.ftn	Problems with input LR,LM,KTR values
 Convip_plus	-4	diag_convert_ip123.cdk90	Illegal KIND conversion requested
 Coordab	-1	coord.ftn	COORD parameter not recognized
 Decodr		-1	lowio.ftn	IEEE-754 real*8 overflow
 Decodr2 	-1	lowio92.ftn	IEEE-754 real*8 overflow
 Dimgt		-1	dimgt.ftn	LR is less than LM
 Dimgt2		-1	dimgt.ftn	LR is less than LM
 D_gridgef	-1	gemdiag.ftn	ERROR in generating X axis
 D_gridgef	-2	gemdiag.ftn	ERROR in generating Y axis
 D_gridgef	-3	gemdiag.ftn	ERROR in LAM specifications
 Eapl		-1	eapl.ftn	Local pressure levels are not monotonous
 Eapl		-2	eapl.ftn	Local sigma levels are not monotonous
 Eathl		-1	eapl.ftn	Found an inversion in theta coordinate
 Ecrtoc		-1	diag_toc.cdk90	WARNING - error during write
 Elael		-1	pael.ftn	Entry levels are not monotonous
 Elael		-2	pael.ftn	Output levels are not monotonous
 Ffgfw		-1	fftcray.ftn	ILG is less than LON+2
 Ffgfw3		-1	fftcray.ftn	ILG is less than LON+2
 Ffwfg		-1	fftcray.ftn	ILG is less than LON+2
 Ffwfg3		-1	fftcray.ftn	ILG is less than LON+2
 Filev		-1	filev.ftn	Fortran I/O error
 Ftsetup 	-1	fftcray.ftn	Problem with prime factors for N
 Gainsq		-1	filter.ftn	Problem integrating the response function
 Gapl		-1	mrcdiag.ftn	Pressure levels are not monotonous
 Gapl		-2	mrcdiag.ftn	Local sigma levels are not monotonous
 Gbyt92		-1	pacc92.ftn	NBIT greater than 32 is illegal
 Gbyt92		-2	pacc92.ftn	Illegal machine type
 Gem4apl 	-1	gemdiag.ftn	Destination levels are not monotonous
 Gem4apl 	-2	gemdiag.ftn	Source levels not hybrid type
 Gem4apl	-3	gemdiag.ftn	Source levels are not monotonous
 Gem4ath	-1	gemdiag.ftn	Indentified an inversion layer
 Getbuf2 	-1	get.ftn		Mismatch between HEAD and IOHEAD
 Getbuf2 	-2	get.ftn		Unknown packing type
 Gethic  	-1	get.ftn		Unknown character parameter name
 Gethigh 	-1	get.ftn		Unknown integer parameter name
 Getkindc 	-1	coord.ftn	Unrecognized numeric KIND value
 Getlign 	-1	get.ftn		LEN greater than 999 characters
 Getset2 	-1	get.ftn		NLEV*NWDS greater than MAXPK
 Getsiz3 	-1	get.ftn		Last variable set is incomplete
 Getsiz3 	-2	get.ftn		More than one size in file
 Getsiz3 	-3	get.ftn		More than one set of levels
 Getsiz4 	-1	get.ftn		More than one size in file
 Getyp		-1	get.ftn		Fortran I/O error
 Getzdes 	-1	convsub.ftn	Unable to open file zcrochets
 Getzdes 	-2	convsub.ftn	Bad dimensions for data in file zcrochets
 Getzdes	-3	convsub.ftn	Unmatched dimensions
 Getzipx	-1	convsub.ftn	Unable to open file zcrochets
 Getzipx	-2	convsub.ftn	Bad dimensions for data in file zcrochets
 Getzref 	-1	convsub.ftn	Unable to open file zcrochets
 Getzref 	-2	convsub.ftn	Z-reference records un-available
 Getzref 	-3	convsub.ftn	Fortran I/O error with file zcrochets
 Getzref 	-4	convsub.ftn	Bad dimensions for data in file zcrochets
 Getztyp	-1	convsub.ftn	Unmatched dimensions
 Getztyp	-2	convsub.ftn	Bad dimensions for data in file zcrochets
 Getzx2		-1	get.ftn		Allocated field too small to unpack data
 Ibufill 	-3	convsub.ftn	Unsupported standart file grid type
 Inctdia 	-1	inctdia.ftn	Unable to define a constant value
 InfNaN		-1	util.ftn	Found illegal data (Inf or NaN)
 Inicle		-1	convsub.ftn	I/O unit number too large
 Intpz		-1	mrcdiag.ftn	Illegal cubic-spline derivative
 Jclpnt		-1	util.ftn	Too many I/O units	
 Jclpnt		-2	util.ftn	File name longer than 256 characters
 Jclpnt		-3	util.ftn	Tried openning empty stdin file
 Jclpnt		-4	util.ftn	Fortran I/O error
 Jclpnt		-5	util.ftn	Unknown file type returned by WKOFFIT
 Jclpnt		-6	util.ftn	Unsupported file type
 Jclpnt		-7	util.ftn	Mixing standart and CCC file formats
 Jclpnt		-8	util.ftn	Illegal standart file type in SEQ keyword
 Jclpnt		-9	util.ftn	Integer and real words have different sizes
 Jcnplt		-10	util.ftn	TMPDIR or BIG_TMPDIR not defined
 Jcnplt		-11	util.ftn	Problem with JCLPNT entry point calls
 Jcnplt		-12	util.ftn	Unknown position type (not OVER or APPEND)
 Jcnplt		-13	util.ftn	Illegal position option for this file type
 Jcnplt		-14	util.ftn	I/O unit number too large
 Jcnplt		-15	util.ftn	Assumed fortran binary file not recognized
 Jcnplt		-16	util.ftn	Error while reading missing value parametres
 Jcnplt		-17	util.ftn	Fortran formatted file does not exist
 Jclpnt		-99	util.ftn	Detected previous XIT abort value (Do Nothing)
 Lblchk		-1 	label.ftn	Illegal packing density
 Lgtst		-1	lgtst.ftn	ILAT must be even
 LirPT		-1	convsub.ftn	Wrong record size for HY coordinate descriptor
 LoPToc		-1	diag_toc.cdk90	Vertical descriptors unavailable
 LoPToc		-2	diag_toc.cdk90	Cannot compute local pressures with IP1/2 
 Memcof		-1	mem.ftn	Allocated workspace NMAX too small
 OuvSTD		-1	convsub.ftn	FNOM error
 OuvSTD		-2	convsub.ftn	This standard file type is not supported
 OuvSTD		-3	convsub.ftn	FSTOUV error
 OuvSTD		-4	convsub.ftn	Illegal fully-specified upper-case file name
 OuvSTD		-5	convsub.ftn	I/O unit number too large
 OuvSTD		-6	convsub.ftn	Unable to close file
 Ouvzref 	-1	convsub.ftn	TMPDIR or BIG_TMPDIR not defined
 Ouvzref 	-2	convsub.ftn	Unable to remove old ZCROCHETS file
 Pacc92		-1	pacc92.ftn	NBITS is greater than MAXINT
 Pacc92		-2	pacc92.ftn	NBITS is less or equal than 1
 Paccrn		-1	paccrn.ftn	NBITS is greater than MAXBIT
 Paccrn		-2	paccrn.ftn	NBITS is less or equal than 1
 Paccrn		-101	paccrn.ftn	Unknown MACHINE type
 Pael		-1	pael.ftn	Pressure levels are not monotonous
 Pael		-2	pael.ftn	Local sigma levels are not monotonous
